model,chance,delta_percentage_points,metric,note,our_split,our_value,paper,paper_split,paper_value
random_init,0.0016638935108153079,-3.800534762814641,"Top-1 accuracy, 601-word retrieval vocabulary","Directly comparable vocabulary size; our value is test, paper reports validation.",test (best validation checkpoint),0.00299465237185359,"Chen et al., Decoding EEG Speech Perception with Transformers and VAE-based Data Augmentation",validation,0.041
random_init,0.016638935108153077,-24.21037435501814,"Top-10 accuracy, 601-word retrieval vocabulary","Directly comparable vocabulary size; our value is test, paper reports validation.",test (best validation checkpoint),0.02609625644981861,"Chen et al., Decoding EEG Speech Perception with Transformers and VAE-based Data Augmentation",validation,0.2682
eeg_from_scratch,0.0016638935108153079,57.32246127128601,"Top-1 accuracy, 601-word retrieval vocabulary","Directly comparable vocabulary size; our value is test, paper reports validation.",test (best validation checkpoint),0.6142246127128601,"Chen et al., Decoding EEG Speech Perception with Transformers and VAE-based Data Augmentation",validation,0.041
eeg_from_scratch,0.016638935108153077,48.67732327461243,"Top-10 accuracy, 601-word retrieval vocabulary","Directly comparable vocabulary size; our value is test, paper reports validation.",test (best validation checkpoint),0.7549732327461243,"Chen et al., Decoding EEG Speech Perception with Transformers and VAE-based Data Augmentation",validation,0.2682
eeg_pretrained,0.0016638935108153079,67.10855450630187,"Top-1 accuracy, 601-word retrieval vocabulary","Directly comparable vocabulary size; our value is test, paper reports validation.",test (best validation checkpoint),0.7120855450630188,"Chen et al., Decoding EEG Speech Perception with Transformers and VAE-based Data Augmentation",validation,0.041
eeg_pretrained,0.016638935108153077,50.987486057281494,"Top-10 accuracy, 601-word retrieval vocabulary","Directly comparable vocabulary size; our value is test, paper reports validation.",test (best validation checkpoint),0.7780748605728149,"Chen et al., Decoding EEG Speech Perception with Transformers and VAE-based Data Augmentation",validation,0.2682
