epoch,from_scratch (language),megxl_eeg1 (language),megxl_eeg2 (language)
0,0.0438118651509285,0.048341020941734314,0.048340536653995514
1,0.04639185965061188,0.05035437270998955,0.05033145099878311
2,0.048319634050130844,0.05172747001051903,0.05173278599977493
3,0.049257032573223114,0.05238858237862587,0.05234751105308533
4,0.05054071173071861,0.05334259197115898,0.05332768335938454
5,0.051583584398031235,0.05429357290267944,0.05429268628358841
6,0.052228085696697235,0.054793234914541245,0.05479203909635544
7,0.053181521594524384,0.0555940680205822,0.0555875226855278
8,0.054024484008550644,0.05633636564016342,0.05635269358754158
9,0.05460800230503082,0.05668416991829872,0.05671484395861626
10,0.055384211242198944,0.057682156562805176,0.05767173692584038
11,0.055820636451244354,0.05781390145421028,0.057792145758867264
12,0.05646264925599098,0.05823056399822235,0.05823707580566406
13,0.05691499263048172,0.05892065539956093,0.059001486748456955
14,0.057775236666202545,0.05958234518766403,0.05957027152180672
15,0.05823381990194321,0.05995102599263191,0.06002470850944519
16,0.0587301068007946,0.060637544840574265,0.06064200401306152
17,0.05935792624950409,0.06112463399767876,0.06115301698446274
18,0.060164809226989746,0.06194527819752693,0.061894260346889496
19,0.06010567769408226,0.061909258365631104,0.06192091852426529
20,0.06089170277118683,0.06258948147296906,0.06265752017498016
21,0.06151687353849411,0.0633128434419632,0.06326226890087128
22,0.06226421147584915,0.06392171233892441,0.06392058730125427
23,0.06285736709833145,0.06425192952156067,0.0642525851726532
24,0.06360913068056107,0.06507419794797897,0.06512145698070526
25,0.06383001059293747,0.06541261076927185,0.06549953669309616
26,0.06473838537931442,0.06626401841640472,0.06630252301692963
27,0.06527820229530334,0.06652207672595978,0.06663652509450912
28,0.06601691246032715,0.06756085157394409,0.06746046245098114
29,0.06681635230779648,0.06845280528068542,0.06843063980340958
30,0.06704885512590408,0.06837736815214157,0.06839871406555176
31,0.06815582513809204,0.06947759538888931,0.0694635733962059
32,0.0686328336596489,0.06975769996643066,0.06978105753660202
33,0.0692809522151947,0.07048434019088745,0.07039348036050797
34,0.07037783414125443,0.07149800658226013,0.07157567888498306
35,0.0709834024310112,0.07198484241962433,0.07209516316652298
36,0.07153615355491638,0.07274515926837921,0.07276028394699097
37,0.07199426740407944,0.07347488403320312,0.07338693737983704
38,0.0725550651550293,0.07402873784303665,0.07403381913900375
39,0.07318559288978577,0.07419484108686447,0.07436981797218323
40,0.07373041659593582,0.0749993771314621,0.0749620646238327
41,0.07433556020259857,0.07536021620035172,0.07527654618024826
42,0.07505156099796295,0.07631734013557434,0.07632526010274887
43,0.07536619156599045,0.07644317299127579,0.0764629915356636
44,0.07591161876916885,0.07679025083780289,0.07676205039024353
45,0.075954370200634,0.07718817889690399,0.07721524685621262
46,0.07661450654268265,0.07762668281793594,0.07760751247406006
47,0.07663378864526749,0.07744544744491577,0.07742118090391159
48,0.07668035477399826,0.07770070433616638,0.07764492183923721
49,0.07694704830646515,0.07801319658756256,0.07794622331857681
