epoch,from_scratch (reading),megxl_eeg1 (reading),megxl_eeg2 (reading)
0,0.3840022683143616,0.3840022683143616,0.3840022683143616
1,0.3840022683143616,0.3840022683143616,0.3840022683143616
2,0.3840022683143616,0.3840022683143616,0.3840022683143616
3,0.3840022683143616,0.3840022683143616,0.3840022683143616
4,0.3840022683143616,0.3840022683143616,0.3840022683143616
5,0.3840022683143616,0.3840022683143616,0.3840022683143616
6,0.3840022683143616,0.3840022683143616,0.3840022683143616
7,0.3840022683143616,0.3840022683143616,0.3840022683143616
8,0.3840022683143616,0.3840022683143616,0.3840022683143616
9,0.3840022683143616,0.3840022683143616,0.3840022683143616
10,0.3840022683143616,0.3840022683143616,0.3840022683143616
11,0.3840022683143616,0.3840022683143616,0.3840022683143616
12,0.3840022683143616,0.3840022683143616,0.3840022683143616
13,0.3840022683143616,0.3840022683143616,0.3840022683143616
14,0.3840022683143616,0.3840022683143616,0.3840022683143616
15,0.3840022683143616,0.3840022683143616,0.3840022683143616
16,0.3840022683143616,0.3840022683143616,0.3840022683143616
17,0.3840022683143616,0.3840022683143616,0.3840022683143616
18,0.3840022683143616,0.3840022683143616,0.3840022683143616
19,0.3840022683143616,0.3840022683143616,0.3840022683143616
20,0.3840022683143616,0.3840022683143616,0.3840022683143616
21,0.3840022683143616,0.3840022683143616,0.3840022683143616
22,0.3840022683143616,0.3840022683143616,0.3840022683143616
23,0.3840022683143616,0.3840022683143616,0.3840022683143616
24,0.3840022683143616,0.3840022683143616,0.3840022683143616
25,0.3840022683143616,0.3840022683143616,0.3840022683143616
26,0.3840022683143616,0.3840022683143616,0.3840022683143616
27,0.3840022683143616,0.3840022683143616,0.3840022683143616
28,0.3840022683143616,0.3840022683143616,0.3840022683143616
29,0.3840022683143616,0.3840022683143616,0.3840022683143616
30,0.3840022683143616,0.3840022683143616,0.3840022683143616
31,0.3840022683143616,0.3840022683143616,0.3840022683143616
32,0.3840022683143616,0.3840022683143616,0.3840022683143616
33,0.3840022683143616,0.3840022683143616,0.3840022683143616
34,0.3840022683143616,0.3840022683143616,0.3840022683143616
35,0.3840022683143616,0.3840022683143616,0.3840022683143616
36,0.3840022683143616,0.3840022683143616,0.3840022683143616
37,0.3840022683143616,0.3840022683143616,0.3840022683143616
38,0.3840022683143616,0.3840022683143616,0.3840022683143616
39,0.3840022683143616,0.3840022683143616,0.3840022683143616
40,0.3840022683143616,0.3840022683143616,0.3840022683143616
41,0.3840022683143616,0.3840022683143616,0.3840022683143616
42,0.3840022683143616,0.3840022683143616,0.3840022683143616
43,0.3840022683143616,0.3840022683143616,0.3840022683143616
44,0.3840022683143616,0.3840022683143616,0.3840022683143616
45,0.3840022683143616,0.3840022683143616,0.3840022683143616
46,0.3840022683143616,0.3840022683143616,0.3840022683143616
47,0.3840022683143616,0.3840022683143616,0.3840022683143616
48,0.3840022683143616,0.3840022683143616,0.3840022683143616
49,0.3840022683143616,0.3840022683143616,0.3840022683143616
