epoch,from_scratch (reading),megxl_eeg1 (reading),megxl_eeg2 (reading)
0,0.015147185884416103,0.03953368589282036,0.03953362628817558
1,0.018734537065029144,0.041534896939992905,0.041531484574079514
2,0.020264877006411552,0.042437594383955,0.04244176670908928
3,0.021553069353103638,0.04313282668590546,0.04312652722001076
4,0.023341186344623566,0.043586522340774536,0.043577179312705994
5,0.02645755745470524,0.04415882006287575,0.04416559264063835
6,0.029216790571808815,0.04433228448033333,0.0443374365568161
7,0.03130068629980087,0.04472867771983147,0.044737279415130615
8,0.03310443460941315,0.045184969902038574,0.04517943412065506
9,0.034981727600097656,0.0456228032708168,0.045617565512657166
10,0.036363981664180756,0.04591341316699982,0.04592004045844078
11,0.03756583482027054,0.046170059591531754,0.046173177659511566
12,0.03879738226532936,0.04655586555600166,0.04655640572309494
13,0.039627622812986374,0.046918779611587524,0.04691549018025398
14,0.04018806666135788,0.04695244878530502,0.04695165902376175
15,0.04108354449272156,0.04730427637696266,0.04730449244379997
16,0.041592251509428024,0.04752029851078987,0.04752190783619881
17,0.04235181584954262,0.04795341193675995,0.04795464873313904
18,0.042892567813396454,0.04813789948821068,0.04813958331942558
19,0.04338124766945839,0.048403602093458176,0.048405420035123825
20,0.043674152344465256,0.04850572720170021,0.04850700497627258
21,0.044360753148794174,0.048918988555669785,0.048919204622507095
22,0.044700536876916885,0.049097687005996704,0.04910018667578697
23,0.045098815113306046,0.04930271953344345,0.04930347576737404
24,0.04540037363767624,0.04952613264322281,0.0495244599878788
25,0.04586108773946762,0.04983352869749069,0.049833789467811584
26,0.04609999805688858,0.049981534481048584,0.04998411238193512
27,0.04637683555483818,0.050171829760074615,0.050173044204711914
28,0.046761661767959595,0.05043972656130791,0.05044103413820267
29,0.04691937565803528,0.05048932507634163,0.050488993525505066
30,0.04731128364801407,0.050740137696266174,0.05074134096503258
31,0.04751385375857353,0.050928615033626556,0.050935570150613785
32,0.04780115187168121,0.05114483833312988,0.051145076751708984
33,0.048061665147542953,0.051338084042072296,0.05134092643857002
34,0.048258986324071884,0.05147632956504822,0.051477182656526566
35,0.0485009029507637,0.05166691169142723,0.05166959390044212
36,0.048725880682468414,0.051820721477270126,0.051819559186697006
37,0.04882596433162689,0.051860082894563675,0.0518612265586853
38,0.04914741590619087,0.05215766653418541,0.05215493217110634
39,0.04924013465642929,0.05218416452407837,0.052181780338287354
40,0.04940478876233101,0.052258387207984924,0.05225837603211403
41,0.04945196956396103,0.052321892231702805,0.0523211732506752
42,0.04976845905184746,0.05261843651533127,0.05262370407581329
43,0.049687933176755905,0.05247833579778671,0.052476923912763596
44,0.04979291185736656,0.05258043855428696,0.05258370190858841
45,0.049938805401325226,0.05272996053099632,0.052732277661561966
46,0.050015419721603394,0.05278988555073738,0.05279381573200226
47,0.04984581843018532,0.05260702595114708,0.052605241537094116
48,0.05000699684023857,0.052720002830028534,0.052716922014951706
49,0.05008591338992119,0.05279739201068878,0.052796658128499985
