epoch,from_scratch (language),megxl_eeg1 (language),megxl_eeg2 (language)
0,0.044179074466228485,0.048486337065696716,0.048486314713954926
1,0.04660540819168091,0.05046715587377548,0.050461944192647934
2,0.04850421100854874,0.05200900882482529,0.051971253007650375
3,0.04944879934191704,0.05265339836478233,0.052669547498226166
4,0.05068708956241608,0.05358046293258667,0.05356268584728241
5,0.05179561302065849,0.05442933738231659,0.0544634647667408
6,0.05251850187778473,0.055213186889886856,0.05525177717208862
7,0.053471531718969345,0.05586836859583855,0.05588407441973686
8,0.05443582683801651,0.05658114701509476,0.05647599324584007
9,0.05479440465569496,0.05690286308526993,0.05696093663573265
10,0.05586148798465729,0.057987652719020844,0.05795815587043762
11,0.05623505264520645,0.05831018462777138,0.05828995257616043
12,0.05668925121426582,0.05878421664237976,0.05883660539984703
13,0.057303186506032944,0.059321094304323196,0.059348203241825104
14,0.057964760810136795,0.05998649448156357,0.06003197655081749
15,0.058619894087314606,0.06026456132531166,0.06033104285597801
16,0.05925909802317619,0.06099444627761841,0.061006929725408554
17,0.059806257486343384,0.06141364946961403,0.061489783227443695
18,0.06042260304093361,0.0622636117041111,0.062244754284620285
19,0.060859981924295425,0.06259748339653015,0.06265220046043396
20,0.06133035942912102,0.06302168220281601,0.06304072588682175
21,0.06241254508495331,0.06412637233734131,0.06418299674987793
22,0.06304904073476791,0.06445736438035965,0.06449870020151138
23,0.0634477287530899,0.06472612172365189,0.06466759741306305
24,0.06412690132856369,0.06555785238742828,0.06558729708194733
25,0.06476396322250366,0.06625118851661682,0.0663425400853157
26,0.06528737396001816,0.06679399311542511,0.06684168428182602
27,0.06576348096132278,0.06721725314855576,0.06729771196842194
28,0.06671056151390076,0.06812968105077744,0.06800906360149384
29,0.06753731518983841,0.06911538541316986,0.06905470788478851
30,0.06781385093927383,0.06911977380514145,0.06908249109983444
31,0.06900803744792938,0.07016821205615997,0.07019555568695068
32,0.0696282610297203,0.07085239887237549,0.07080212980508804
33,0.07008875906467438,0.07133264094591141,0.07134570926427841
34,0.07125010341405869,0.07232042402029037,0.07239677757024765
35,0.07199173420667648,0.07295515388250351,0.07294657826423645
36,0.0725233405828476,0.07362193614244461,0.07366006821393967
37,0.07356203347444534,0.07444358617067337,0.07449322193861008
38,0.07391422241926193,0.07520169764757156,0.07523106038570404
39,0.07435820996761322,0.07533660531044006,0.07542543113231659
40,0.07497741281986237,0.07605217397212982,0.07611967623233795
41,0.07577460259199142,0.07652928680181503,0.07660815864801407
42,0.07604344189167023,0.07737278193235397,0.07738319784402847
43,0.07653763145208359,0.07780855149030685,0.07781172543764114
44,0.0773092582821846,0.07805241644382477,0.07815568894147873
45,0.0775051862001419,0.07848601043224335,0.07846911996603012
46,0.07810547947883606,0.07899516820907593,0.07897651195526123
47,0.0781378373503685,0.07898474484682083,0.0790468230843544
48,0.07820049673318863,0.07900569587945938,0.07904291152954102
49,0.07825329899787903,0.07947120070457458,0.07938087731599808
