epoch,from_scratch (language),megxl_eeg1 (language),megxl_eeg2 (language)
0,0.26696473360061646,0.26696473360061646,0.26696473360061646
1,0.26696956157684326,0.26696956157684326,0.26696956157684326
2,0.2669672966003418,0.2669672966003418,0.2669672966003418
3,0.26696494221687317,0.26696494221687317,0.26696494221687317
4,0.2669675052165985,0.2669675052165985,0.2669675052165985
5,0.2669648230075836,0.2669648230075836,0.2669648230075836
6,0.2669743299484253,0.2669743299484253,0.2669743299484253
7,0.2669745981693268,0.2669745981693268,0.2669745981693268
8,0.2669718265533447,0.2669718265533447,0.2669718265533447
9,0.26696959137916565,0.26696959137916565,0.26696959137916565
10,0.266972154378891,0.266972154378891,0.266972154378891
11,0.26697438955307007,0.26697438955307007,0.26697438955307007
12,0.2669694721698761,0.2669694721698761,0.2669694721698761
13,0.26696786284446716,0.26696786284446716,0.26696786284446716
14,0.26697686314582825,0.26697686314582825,0.26697686314582825
15,0.26697224378585815,0.26697224378585815,0.26697224378585815
16,0.26696956157684326,0.26696956157684326,0.26696956157684326
17,0.26696717739105225,0.26696717739105225,0.26696717739105225
18,0.26697230339050293,0.26697230339050293,0.26697230339050293
19,0.26696696877479553,0.26696696877479553,0.26696696877479553
20,0.2669694125652313,0.2669694125652313,0.2669694125652313
21,0.2669726312160492,0.2669726312160492,0.2669726312160492
22,0.2669697403907776,0.2669697403907776,0.2669697403907776
23,0.26697173714637756,0.26697173714637756,0.26697173714637756
24,0.26697200536727905,0.26697200536727905,0.26697200536727905
25,0.26696744561195374,0.26696744561195374,0.26696744561195374
26,0.2669719457626343,0.2669719457626343,0.2669719457626343
27,0.2669699490070343,0.2669699490070343,0.2669699490070343
28,0.26696714758872986,0.26696714758872986,0.26696714758872986
29,0.26696473360061646,0.26696473360061646,0.26696473360061646
30,0.266972154378891,0.266972154378891,0.266972154378891
31,0.2669720947742462,0.2669720947742462,0.2669720947742462
32,0.2669696509838104,0.2669696509838104,0.2669696509838104
33,0.2669745087623596,0.2669745087623596,0.2669745087623596
34,0.2669698894023895,0.2669698894023895,0.2669698894023895
35,0.26697173714637756,0.26697173714637756,0.26697173714637756
36,0.2669675052165985,0.2669675052165985,0.2669675052165985
37,0.2669652998447418,0.2669652998447418,0.2669652998447418
38,0.2669723927974701,0.2669723927974701,0.2669723927974701
39,0.2669672667980194,0.2669672667980194,0.2669672667980194
40,0.2669718265533447,0.2669718265533447,0.2669718265533447
41,0.2669792175292969,0.2669792175292969,0.2669792175292969
42,0.2669670581817627,0.2669670581817627,0.2669670581817627
43,0.26697227358818054,0.26697227358818054,0.26697227358818054
44,0.2669673562049866,0.2669673562049866,0.2669673562049866
45,0.2669673264026642,0.2669673264026642,0.2669673264026642
46,0.2669747769832611,0.2669747769832611,0.2669747769832611
47,0.2669695019721985,0.2669695019721985,0.2669695019721985
48,0.26696762442588806,0.26696762442588806,0.26696762442588806
49,0.266969233751297,0.266969233751297,0.266969233751297
