epoch,from_scratch (reading),megxl_eeg1 (reading),megxl_eeg2 (reading)
0,0.01679714024066925,0.04172046110033989,0.04171979799866676
1,0.02043624222278595,0.04385686665773392,0.04384744167327881
2,0.021799791604280472,0.04479115083813667,0.04479527845978737
3,0.02290237881243229,0.045526713132858276,0.045534539967775345
4,0.024613019078969955,0.046002838760614395,0.046001266688108444
5,0.028094857931137085,0.0465492382645607,0.046557944267988205
6,0.031066736206412315,0.04679151251912117,0.04677606374025345
7,0.0331682525575161,0.04712962731719017,0.04714654013514519
8,0.0350426509976387,0.047641415148973465,0.04764074832201004
9,0.03694307431578636,0.048036642372608185,0.048027701675891876
10,0.03838164731860161,0.048373833298683167,0.04838384687900543
11,0.03960021957755089,0.048607390373945236,0.048610057681798935
12,0.04085131362080574,0.04902961105108261,0.049022309482097626
13,0.041699495166540146,0.04936731979250908,0.04936095327138901
14,0.04233681783080101,0.04946649447083473,0.04946241155266762
15,0.04328928887844086,0.04977281391620636,0.04977943003177643
16,0.04384114220738411,0.05005320906639099,0.050064463168382645
17,0.04456191137433052,0.050411246716976166,0.050424590706825256
18,0.045193061232566833,0.050662387162446976,0.050673551857471466
19,0.045686084777116776,0.050925347954034805,0.05092238262295723
20,0.04598965123295784,0.051031265407800674,0.05103374272584915
21,0.04671831429004669,0.05144568905234337,0.051447704434394836
22,0.047124892473220825,0.051704514771699905,0.05170181393623352
23,0.04751519858837128,0.05190909281373024,0.05190866068005562
24,0.047747064381837845,0.05209633335471153,0.05208625644445419
25,0.04825598746538162,0.052427057176828384,0.05242128670215607
26,0.04849681258201599,0.05259299278259277,0.052595753222703934
27,0.048831380903720856,0.05288516730070114,0.05288642272353172
28,0.04920630529522896,0.05308518931269646,0.0530867762863636
29,0.049356479197740555,0.05313587933778763,0.05313083529472351
30,0.049745917320251465,0.053414635360240936,0.05342504382133484
31,0.050039682537317276,0.05358459800481796,0.0536004900932312
32,0.050283387303352356,0.05383796989917755,0.053829893469810486
33,0.05052277073264122,0.054005783051252365,0.05400937795639038
34,0.05076168477535248,0.0541633665561676,0.05416596308350563
35,0.05096318572759628,0.05435832217335701,0.054359160363674164
36,0.05125325173139572,0.05453524738550186,0.05452713370323181
37,0.05135265365242958,0.05457920581102371,0.054572802037000656
38,0.05163797363638878,0.05481109768152237,0.05481027066707611
39,0.05175803229212761,0.05491165816783905,0.05490376427769661
40,0.05193978548049927,0.05497826635837555,0.05496973171830177
41,0.05197085067629814,0.05500302091240883,0.055005766451358795
42,0.05221455916762352,0.05527699366211891,0.055272843688726425
43,0.05220324173569679,0.05513330549001694,0.05513665825128555
44,0.05227440223097801,0.05524313077330589,0.05524763837456703
45,0.05247221142053604,0.05543247237801552,0.05542571842670441
46,0.05254945158958435,0.055462539196014404,0.05546599254012108
47,0.052411310374736786,0.0553722009062767,0.055371034890413284
48,0.052524518221616745,0.055440980941057205,0.055438365787267685
49,0.05260223150253296,0.0555105023086071,0.05551085248589516
