epoch,from_scratch (language),megxl_eeg1 (language),megxl_eeg2 (language)
0,0.04239429906010628,0.04674175754189491,0.046780820935964584
1,0.04480874910950661,0.04865559563040733,0.04865524172782898
2,0.04679650813341141,0.050278790295124054,0.05026319622993469
3,0.0478505901992321,0.05097390338778496,0.050978727638721466
4,0.04895623400807381,0.05184301733970642,0.051817040890455246
5,0.05004778876900673,0.052757106721401215,0.052758656442165375
6,0.050756897777318954,0.053252626210451126,0.05327073857188225
7,0.05162370204925537,0.053985849022865295,0.05395730212330818
8,0.05251524969935417,0.05482448264956474,0.054801344871520996
9,0.053164299577474594,0.05522855743765831,0.05525927618145943
10,0.053982727229595184,0.05611037090420723,0.056070879101753235
11,0.05430641025304794,0.056325849145650864,0.05635751038789749
12,0.05497845634818077,0.05686662346124649,0.05692010372877121
13,0.0554986335337162,0.057499341666698456,0.05754156783223152
14,0.056247275322675705,0.05814940482378006,0.0581892728805542
15,0.056761179119348526,0.058493178337812424,0.05855712294578552
16,0.05741392821073532,0.05923101678490639,0.05922606587409973
17,0.057932548224925995,0.05965106189250946,0.05969884619116783
18,0.058549847453832626,0.060335393995046616,0.06034380942583084
19,0.05884106829762459,0.06058875843882561,0.0606243796646595
20,0.05956992506980896,0.061336927115917206,0.061358414590358734
21,0.06033327430486679,0.062027525156736374,0.06204519048333168
22,0.06101256608963013,0.06251943111419678,0.06255093216896057
23,0.06161366030573845,0.06292595714330673,0.06290429085493088
24,0.06225014477968216,0.06370767951011658,0.06375163048505783
25,0.06269131600856781,0.06417583674192429,0.0642247125506401
26,0.0634114220738411,0.06487987190485,0.06492581218481064
27,0.06393422186374664,0.06528075784444809,0.06536003202199936
28,0.06484642624855042,0.06622789055109024,0.06615310162305832
29,0.06554833054542542,0.06717269122600555,0.06712593883275986
30,0.06592676043510437,0.0672040581703186,0.06718325614929199
31,0.06700325757265091,0.06824799627065659,0.06824605166912079
32,0.06760360300540924,0.06883490830659866,0.06883956491947174
33,0.06807240843772888,0.06934410333633423,0.06933625042438507
34,0.06925605982542038,0.07035888731479645,0.07042110711336136
35,0.06981218606233597,0.07084853202104568,0.07087584584951401
36,0.07051733881235123,0.07167553901672363,0.07174379378557205
37,0.0711980015039444,0.07228687405586243,0.0723142996430397
38,0.0718187689781189,0.07306680828332901,0.07305197417736053
39,0.07228350639343262,0.07329700887203217,0.07338766753673553
40,0.07278383523225784,0.07397864758968353,0.07397781312465668
41,0.07361780852079391,0.07451445609331131,0.07449331134557724
42,0.07414759695529938,0.07527529448270798,0.07531039416790009
43,0.07448384910821915,0.07560036331415176,0.07552724331617355
44,0.07514379173517227,0.075807124376297,0.07588353753089905
45,0.07530473917722702,0.0762537345290184,0.07631681859493256
46,0.07586351782083511,0.0766899511218071,0.07670540362596512
47,0.07596281170845032,0.07663975656032562,0.07665830850601196
48,0.07594797760248184,0.07687178254127502,0.07684236764907837
49,0.07618634402751923,0.07726547122001648,0.07719941437244415
