epoch,from_scratch (reading),megxl_eeg1 (reading),megxl_eeg2 (reading)
0,0.014545271173119545,0.03767786920070648,0.03767922893166542
1,0.01843520626425743,0.039561524987220764,0.03955496475100517
2,0.01998559944331646,0.04039992764592171,0.04039950668811798
3,0.02131105214357376,0.041098061949014664,0.041089627891778946
4,0.022982142865657806,0.041540008038282394,0.04154464602470398
5,0.02575240097939968,0.042046356946229935,0.042056310921907425
6,0.02822597324848175,0.04222339764237404,0.042233675718307495
7,0.03015327639877796,0.04256607964634895,0.04257751628756523
8,0.03185543790459633,0.04299966245889664,0.043004997074604034
9,0.033667441457509995,0.043473854660987854,0.043463584035634995
10,0.03491663932800293,0.04370209574699402,0.04371598735451698
11,0.036014374345541,0.04394872486591339,0.04394866153597832
12,0.03719568997621536,0.04432890936732292,0.04433466121554375
13,0.03800803795456886,0.04471321403980255,0.044714417308568954
14,0.03842119872570038,0.04467670992016792,0.04467928037047386
15,0.03929291293025017,0.0450044721364975,0.04501136392354965
16,0.039781175553798676,0.045270733535289764,0.04526536166667938
17,0.040440019220113754,0.04563530161976814,0.04564101994037628
18,0.04091992229223251,0.045736778527498245,0.045733895152807236
19,0.0413932278752327,0.04606037959456444,0.04606632515788078
20,0.041686952114105225,0.04616210237145424,0.046160176396369934
21,0.04228935018181801,0.046529971063137054,0.046523984521627426
22,0.04264388233423233,0.046731531620025635,0.04673638567328453
23,0.043005917221307755,0.04693273827433586,0.04692954570055008
24,0.04322286695241928,0.04709655046463013,0.04709606245160103
25,0.04371758922934532,0.04742668941617012,0.047429535537958145
26,0.043948207050561905,0.047545645385980606,0.04755624011158943
27,0.04417940229177475,0.04772317782044411,0.04771747067570686
28,0.04456120729446411,0.04798451438546181,0.04798649623990059
29,0.044738851487636566,0.04800738766789436,0.048008039593696594
30,0.045121029019355774,0.048309750854969025,0.04830079898238182
31,0.04529319703578949,0.04846886172890663,0.04847370460629463
32,0.04554593935608864,0.04863457381725311,0.04864320531487465
33,0.045778125524520874,0.04879475384950638,0.048793092370033264
34,0.0459945946931839,0.048935793340206146,0.04894118756055832
35,0.04616502299904823,0.049118269234895706,0.04912153631448746
36,0.04644940420985222,0.04930935427546501,0.049313101917505264
37,0.04652785137295723,0.04933163523674011,0.04932921752333641
38,0.04679713770747185,0.049542639404535294,0.04953906685113907
39,0.04683773219585419,0.049561258405447006,0.04956389218568802
40,0.047136180102825165,0.04978059604763985,0.04978428781032562
41,0.04706427827477455,0.049750421196222305,0.049746621400117874
42,0.04742538928985596,0.05006255954504013,0.05007372051477432
43,0.04731430113315582,0.04991312325000763,0.049915120005607605
44,0.04741079732775688,0.050017837435007095,0.05002835392951965
45,0.047534119337797165,0.050145361572504044,0.050146009773015976
46,0.04762934893369675,0.05022327974438667,0.050219614058732986
47,0.047434911131858826,0.049985285848379135,0.04998360574245453
48,0.047628987580537796,0.0501258410513401,0.0501193143427372
49,0.04768483340740204,0.050221119076013565,0.0502186045050621
