epoch,primary_metric,train/loss,val/primary_metric_value,val/primary_metric_delta_from_previous_epoch,val/primary_metric_margin_over_previous_best,val/primary_metric_gain_over_previous_best,val/primary_metric_improved,val/best_primary_metric,val/best_epoch,training/patience_counter,training/early_stopped,optimizer/lr_group_0,optimizer/lr_group_1,val/loss,val/top10_accuracy_retrieval50,val/n_samples_retrieval50,val/n_skipped_retrieval50,val/balanced_top10_accuracy_retrieval50,val/top10_accuracy_retrieval250,val/n_samples_retrieval250,val/n_skipped_retrieval250,val/balanced_top10_accuracy_retrieval250,val/mean_cosine_similarity,val/std_cosine_similarity,val/mean_pred_norm,val/std_pred_norm,val/mean_target_norm,test_during_train/loss,test_during_train/top10_accuracy_retrieval50,test_during_train/n_samples_retrieval50,test_during_train/n_skipped_retrieval50,test_during_train/balanced_top10_accuracy_retrieval50,test_during_train/top10_accuracy_retrieval250,test_during_train/n_samples_retrieval250,test_during_train/n_skipped_retrieval250,test_during_train/balanced_top10_accuracy_retrieval250,test_during_train/mean_cosine_similarity,test_during_train/std_cosine_similarity,test_during_train/mean_pred_norm,test_during_train/std_pred_norm,test_during_train/mean_target_norm,test_at_best_val/loss,test_at_best_val/top10_accuracy_retrieval50,test_at_best_val/n_samples_retrieval50,test_at_best_val/n_skipped_retrieval50,test_at_best_val/balanced_top10_accuracy_retrieval50,test_at_best_val/top10_accuracy_retrieval250,test_at_best_val/n_samples_retrieval250,test_at_best_val/n_skipped_retrieval250,test_at_best_val/balanced_top10_accuracy_retrieval250,test_at_best_val/mean_cosine_similarity,test_at_best_val/std_cosine_similarity,test_at_best_val/mean_pred_norm,test_at_best_val/std_pred_norm,test_at_best_val/mean_target_norm
1,balanced_top10_accuracy_retrieval250,4.976288501662437,0.04291845493562232,,0.04291845493562232,0.04291845493562232,True,0.04291845493562232,1,0,False,1e-05,0.001,4.897067228953044,0.17910447716712952,1139,1711,0.2,0.015550239011645317,1672,1178,0.04291845493562232,0.6090226769447327,0.010497651062905788,93.89575958251953,0.02992498315870762,2474.98486328125,4.897044502958959,0.19452887773513794,987,1463,0.2,0.020422056317329407,1469,981,0.04310344827586207,0.6093916296958923,0.010491427965462208,93.88861083984375,0.03327931836247444,2485.824951171875,4.897044502958959,0.19452887773513794,987,1463,0.2,0.020422056317329407,1469,981,0.04310344827586207,0.6093916296958923,0.010491427965462208,93.88861083984375,0.03327931836247444,2485.824951171875
2,balanced_top10_accuracy_retrieval250,4.895748673063336,0.0411526817836411,-0.0017657731519812175,-0.0017657731519812175,0.0,False,0.04291845493562232,1,1,False,1e-05,0.001,4.89894019511708,0.18964003026485443,1139,1711,0.2139422842487693,0.021531101316213608,1672,1178,0.0411526817836411,0.6154335141181946,0.011316388845443726,95.19776153564453,0.2515905499458313,2474.98486328125,4.898614056256353,0.20871327817440033,987,1463,0.21370189473032952,0.02654867246747017,1469,981,0.03778483389459293,0.6157586574554443,0.011534145101904869,95.17353057861328,0.265855997800827,2485.824951171875,4.897044502958959,0.19452887773513794,987,1463,0.2,0.020422056317329407,1469,981,0.04310344827586207,0.6093916296958923,0.010491427965462208,93.88861083984375,0.03327931836247444,2485.824951171875
3,balanced_top10_accuracy_retrieval250,4.886983813661518,0.029351680281735924,-0.011801001501905176,-0.013566774653886393,0.0,False,0.04291845493562232,1,2,False,1e-05,0.001,4.904527982076009,0.1764705926179886,1139,1711,0.17814668033272027,0.02930621989071369,1672,1178,0.029351680281735924,0.6054102182388306,0.013839255087077618,105.33367156982422,1.0957098007202148,2474.98486328125,4.902811926238391,0.20871327817440033,987,1463,0.21813575588166714,0.042886316776275635,1469,981,0.04946093376051506,0.6058976650238037,0.014253205619752407,105.32750701904297,1.1512657403945923,2485.824951171875,4.897044502958959,0.19452887773513794,987,1463,0.2,0.020422056317329407,1469,981,0.04310344827586207,0.6093916296958923,0.010491427965462208,93.88861083984375,0.03327931836247444,2485.824951171875
4,balanced_top10_accuracy_retrieval250,4.8369363437999375,0.05301177837434245,0.023660098092606524,0.010093323438720131,0.010093323438720131,True,0.05301177837434245,4,0,False,1e-05,0.001,4.947412750177216,0.17910447716712952,1139,1711,0.1981564090028405,0.047248803079128265,1672,1178,0.05301177837434245,0.6048506498336792,0.03260746970772743,91.2514877319336,2.4461352825164795,2474.98486328125,4.940281945831922,0.18135765194892883,987,1463,0.20960877511650325,0.0524166114628315,1469,981,0.041275034626496246,0.6060798764228821,0.03247526288032532,91.27357482910156,2.420968532562256,2485.824951171875,4.940281945831922,0.18135765194892883,987,1463,0.20960877511650325,0.0524166114628315,1469,981,0.041275034626496246,0.6060798764228821,0.03247526288032532,91.27357482910156,2.420968532562256,2485.824951171875
5,balanced_top10_accuracy_retrieval250,4.66614017582903,0.05161403006846045,-0.0013977483058819976,-0.0013977483058819976,0.0,False,0.05301177837434245,4,1,False,1e-05,0.001,5.042720342937269,0.19490781426429749,1139,1711,0.1778785828873515,0.08373206108808517,1672,1178,0.05161403006846045,0.5857638120651245,0.055237602442502975,61.69206237792969,3.892523765563965,2474.98486328125,5.0360676317798845,0.22289766371250153,987,1463,0.19266680907458067,0.09121851623058319,1469,981,0.04291050259730425,0.5876365303993225,0.05686485022306442,61.655025482177734,3.9397077560424805,2485.824951171875,4.940281945831922,0.18135765194892883,987,1463,0.20960877511650325,0.0524166114628315,1469,981,0.041275034626496246,0.6060798764228821,0.03247526288032532,91.27357482910156,2.420968532562256,2485.824951171875
6,balanced_top10_accuracy_retrieval250,4.411189902912486,0.05487232145257774,0.00325829138411729,0.0018605430782352925,0.0018605430782352925,True,0.05487232145257774,6,0,False,1e-05,0.001,5.098351344727633,0.215100958943367,1139,1711,0.17735244520008564,0.0867224857211113,1672,1178,0.05487232145257774,0.5851494669914246,0.06729826331138611,47.79404067993164,3.7065131664276123,2474.98486328125,5.090850557599749,0.22998987138271332,987,1463,0.19838879734277726,0.08304969221353531,1469,981,0.03811622203873663,0.5861241221427917,0.06825920939445496,47.559288024902344,3.654667854309082,2485.824951171875,5.090850557599749,0.22998987138271332,987,1463,0.19838879734277726,0.08304969221353531,1469,981,0.03811622203873663,0.5861241221427917,0.06825920939445496,47.559288024902344,3.654667854309082,2485.824951171875
7,balanced_top10_accuracy_retrieval250,4.099098164625842,0.042459181833676515,-0.012413139618901226,-0.012413139618901226,0.0,False,0.05487232145257774,6,1,False,1e-05,0.001,5.145417163246556,0.2063213288784027,1139,1711,0.17156893417239188,0.08074162900447845,1672,1178,0.042459181833676515,0.5774151086807251,0.07302660495042801,39.402496337890625,3.560232162475586,2474.98486328125,5.147913932800293,0.21884498000144958,987,1463,0.17813912734389306,0.07488086819648743,1469,981,0.03592425610484748,0.5767992734909058,0.07372083514928818,39.33027267456055,3.5990381240844727,2485.824951171875,5.090850557599749,0.22998987138271332,987,1463,0.19838879734277726,0.08304969221353531,1469,981,0.03811622203873663,0.5861241221427917,0.06825920939445496,47.559288024902344,3.654667854309082,2485.824951171875
8,balanced_top10_accuracy_retrieval250,3.694625659422441,0.04219281393634915,-0.00026636789732736865,-0.012679507516228594,0.0,False,0.05487232145257774,6,2,False,1e-05,0.001,5.225448784075286,0.2238806039094925,1139,1711,0.17799269035458565,0.09868421405553818,1672,1178,0.04219281393634915,0.5581228733062744,0.08187717199325562,33.02180480957031,2.7462947368621826,2474.98486328125,5.228209709634586,0.23404255509376526,987,1463,0.18913769483566284,0.08577263355255127,1469,981,0.029591096404554516,0.5563259720802307,0.08408685028553009,33.184146881103516,2.8805770874023438,2485.824951171875,5.090850557599749,0.22998987138271332,987,1463,0.19838879734277726,0.08304969221353531,1469,981,0.03811622203873663,0.5861241221427917,0.06825920939445496,47.559288024902344,3.654667854309082,2485.824951171875
9,balanced_top10_accuracy_retrieval250,3.332020899262091,0.03237549979799295,-0.009817314138356195,-0.02249682165458479,0.0,False,0.05487232145257774,6,3,False,1e-05,0.001,5.283653225815087,0.31255486607551575,1139,1711,0.1786322194337845,0.12619617581367493,1672,1178,0.03237549979799295,0.5698870420455933,0.09890871495008469,30.734281539916992,2.325369358062744,2474.98486328125,5.304242104900126,0.28976696729660034,987,1463,0.19333613738417627,0.0980258658528328,1469,981,0.03476230217272352,0.5647719502449036,0.09725899994373322,30.870500564575195,2.451101541519165,2485.824951171875,5.090850557599749,0.22998987138271332,987,1463,0.19838879734277726,0.08304969221353531,1469,981,0.03811622203873663,0.5861241221427917,0.06825920939445496,47.559288024902344,3.654667854309082,2485.824951171875
10,balanced_top10_accuracy_retrieval250,3.023034454596163,0.028915633043761928,-0.003459866754231024,-0.025956688408815813,0.0,False,0.05487232145257774,6,4,False,1e-05,0.001,5.313786230589214,0.3064091205596924,1139,1711,0.2116461843252182,0.1333732008934021,1672,1178,0.028915633043761928,0.5573747754096985,0.09782645851373672,28.38364601135254,2.162503480911255,2474.98486328125,5.314520680174535,0.2867274582386017,987,1463,0.171441995203495,0.1252552717924118,1469,981,0.03136201621964574,0.5560646653175354,0.09677236527204514,28.335121154785156,2.2164783477783203,2485.824951171875,5.090850557599749,0.22998987138271332,987,1463,0.19838879734277726,0.08304969221353531,1469,981,0.03811622203873663,0.5861241221427917,0.06825920939445496,47.559288024902344,3.654667854309082,2485.824951171875
11,balanced_top10_accuracy_retrieval250,2.776276118827589,0.048624910590090976,0.01970927754632905,-0.006247410862486764,0.0,False,0.05487232145257774,6,5,False,1e-05,0.001,5.21203322996173,0.18437226116657257,1139,1711,0.20524992026388644,0.07296650856733322,1672,1178,0.048624910590090976,0.5595206022262573,0.07884196937084198,28.13994789123535,2.324723482131958,2474.98486328125,5.21433636606956,0.1702127605676651,987,1463,0.16553833186626435,0.07011572271585464,1469,981,0.047444000005208216,0.5572444200515747,0.07966095209121704,28.28871726989746,2.439979314804077,2485.824951171875,5.090850557599749,0.22998987138271332,987,1463,0.19838879734277726,0.08304969221353531,1469,981,0.03811622203873663,0.5861241221427917,0.06825920939445496,47.559288024902344,3.654667854309082,2485.824951171875
12,balanced_top10_accuracy_retrieval250,2.5711595819454,0.04347746395565921,-0.005147446634431764,-0.011394857496918528,0.0,False,0.05487232145257774,6,6,False,5e-06,0.0005,5.2434595509579305,0.2791922688484192,1139,1711,0.2017996647953987,0.12739235162734985,1672,1178,0.04347746395565921,0.5724690556526184,0.0872170478105545,25.922077178955078,2.028721332550049,2474.98486328125,5.252584204381826,0.25430598855018616,987,1463,0.18530216678977013,0.10891763120889664,1469,981,0.03384391359727958,0.5695739984512329,0.08677054196596146,25.973283767700195,2.0825674533843994,2485.824951171875,5.090850557599749,0.22998987138271332,987,1463,0.19838879734277726,0.08304969221353531,1469,981,0.03811622203873663,0.5861241221427917,0.06825920939445496,47.559288024902344,3.654667854309082,2485.824951171875
13,balanced_top10_accuracy_retrieval250,2.32501832162491,0.04297012416845739,-0.0005073397872018201,-0.011902197284120349,0.0,False,0.05487232145257774,6,7,False,5e-06,0.0005,5.2925791907728765,0.32045653462409973,1139,1711,0.21648132741451265,0.16387559473514557,1672,1178,0.04297012416845739,0.5939806699752808,0.09265043586492538,24.232563018798828,1.9392056465148926,2474.98486328125,5.307477172540159,0.3080040514469147,987,1463,0.17967731565237044,0.13410483300685883,1469,981,0.02532089941588969,0.5908177495002747,0.09295059740543365,24.257780075073242,1.9994007349014282,2485.824951171875,5.090850557599749,0.22998987138271332,987,1463,0.19838879734277726,0.08304969221353531,1469,981,0.03811622203873663,0.5861241221427917,0.06825920939445496,47.559288024902344,3.654667854309082,2485.824951171875
14,balanced_top10_accuracy_retrieval250,2.1830604341295032,0.04489802027145169,0.001927896102994299,-0.00997430118112605,0.0,False,0.05487232145257774,6,8,False,5e-06,0.0005,5.25309037325675,0.31255486607551575,1139,1711,0.20239090234041213,0.15131579339504242,1672,1178,0.04489802027145169,0.5920002460479736,0.087982676923275,22.993736267089844,1.8963813781738281,2474.98486328125,5.2597914715202485,0.2867274582386017,987,1463,0.18311676070094107,0.13138189911842346,1469,981,0.041198353507909284,0.5885618925094604,0.0875355526804924,23.041593551635742,1.954695463180542,2485.824951171875,5.090850557599749,0.22998987138271332,987,1463,0.19838879734277726,0.08304969221353531,1469,981,0.03811622203873663,0.5861241221427917,0.06825920939445496,47.559288024902344,3.654667854309082,2485.824951171875
15,balanced_top10_accuracy_retrieval250,2.0884038655444828,0.05615937447599075,0.01126135420453906,0.001287053023413011,0.001287053023413011,True,0.05615937447599075,15,0,False,5e-06,0.0005,5.290991272842675,0.32396838068962097,1139,1711,0.18294263228774071,0.1632775068283081,1672,1178,0.05615937447599075,0.5948215126991272,0.09099150449037552,22.353166580200195,1.9218841791152954,2474.98486328125,5.294328864739866,0.3191489279270172,987,1463,0.20505772590637206,0.15520761907100677,1469,981,0.03960978355387162,0.5928267240524292,0.09106944501399994,22.37446403503418,1.9424891471862793,2485.824951171875,5.294328864739866,0.3191489279270172,987,1463,0.20505772590637206,0.15520761907100677,1469,981,0.03960978355387162,0.5928267240524292,0.09106944501399994,22.37446403503418,1.9424891471862793,2485.824951171875
16,balanced_top10_accuracy_retrieval250,2.0188912478360264,0.04399519143506181,-0.012164183040928943,-0.012164183040928943,0.0,False,0.05615937447599075,15,1,False,5e-06,0.0005,5.282301727094148,0.3011413514614105,1139,1711,0.20500250965356825,0.15550239384174347,1672,1178,0.04399519143506181,0.5980098247528076,0.08808554708957672,21.826692581176758,1.9225808382034302,2474.98486328125,5.293620450156076,0.2917933166027069,987,1463,0.16888298705220223,0.1456773281097412,1469,981,0.030748944247848,0.5955097079277039,0.08808989822864532,21.863719940185547,1.938315749168396,2485.824951171875,5.294328864739866,0.3191489279270172,987,1463,0.20505772590637206,0.15520761907100677,1469,981,0.03960978355387162,0.5928267240524292,0.09106944501399994,22.37446403503418,1.9424891471862793,2485.824951171875
17,balanced_top10_accuracy_retrieval250,1.9651107776044594,0.04260852010401022,-0.001386671331051588,-0.01355085437198053,0.0,False,0.05615937447599075,15,2,False,5e-06,0.0005,5.238539444772821,0.2967515289783478,1139,1711,0.2173330479860306,0.1351674646139145,1672,1178,0.04260852010401022,0.5966290831565857,0.0833875834941864,21.322282791137695,1.7859770059585571,2474.98486328125,5.238707454837098,0.28166159987449646,987,1463,0.2008299584686756,0.11980939656496048,1469,981,0.03252213088602855,0.5945029258728027,0.08338271081447601,21.342832565307617,1.8084330558776855,2485.824951171875,5.294328864739866,0.3191489279270172,987,1463,0.20505772590637206,0.15520761907100677,1469,981,0.03960978355387162,0.5928267240524292,0.09106944501399994,22.37446403503418,1.9424891471862793,2485.824951171875
18,balanced_top10_accuracy_retrieval250,1.9146467543611623,0.0343076770589587,-0.00830084304505152,-0.02185169741703205,0.0,False,0.05615937447599075,15,3,False,5e-06,0.0005,5.3577931387382645,0.34942930936813354,1139,1711,0.2095623940974474,0.1818181872367859,1672,1178,0.0343076770589587,0.602388322353363,0.09402631223201752,21.326751708984375,2.0954835414886475,2474.98486328125,5.366482238380277,0.335359662771225,987,1463,0.18221969470381738,0.17358747124671936,1469,981,0.03159162797162245,0.6003334522247314,0.09453276544809341,21.31758689880371,2.080641984939575,2485.824951171875,5.294328864739866,0.3191489279270172,987,1463,0.20505772590637206,0.15520761907100677,1469,981,0.03960978355387162,0.5928267240524292,0.09106944501399994,22.37446403503418,1.9424891471862793,2485.824951171875
19,balanced_top10_accuracy_retrieval250,1.871577469989507,0.04313818854579598,0.008830511486837278,-0.013021185930194773,0.0,False,0.05615937447599075,15,4,False,5e-06,0.0005,5.358137314779716,0.33977171778678894,1139,1711,0.2237595348060131,0.17942583560943604,1672,1178,0.04313818854579598,0.606467604637146,0.09213733673095703,20.81313705444336,1.9651907682418823,2474.98486328125,5.350559108111323,0.335359662771225,987,1463,0.19743468537926673,0.16609938442707062,1469,981,0.03470598334639237,0.6034342050552368,0.09186536818742752,20.76809310913086,1.9539471864700317,2485.824951171875,5.294328864739866,0.3191489279270172,987,1463,0.20505772590637206,0.15520761907100677,1469,981,0.03960978355387162,0.5928267240524292,0.09106944501399994,22.37446403503418,1.9424891471862793,2485.824951171875
20,balanced_top10_accuracy_retrieval250,1.8428603350514112,0.04072649431586777,-0.0024116942299282074,-0.01543288016012298,0.0,False,0.05615937447599075,15,5,False,5e-06,0.0005,5.379178247953716,0.3546971082687378,1139,1711,0.19437171332538128,0.19617225229740143,1672,1178,0.04072649431586777,0.6113484501838684,0.09228091686964035,20.955656051635742,2.094379186630249,2474.98486328125,5.372152270102988,0.3465045690536499,987,1463,0.19747373446822167,0.17358747124671936,1469,981,0.03490594973594978,0.6099846959114075,0.09221919625997543,20.967302322387695,2.094209671020508,2485.824951171875,5.294328864739866,0.3191489279270172,987,1463,0.20505772590637206,0.15520761907100677,1469,981,0.03960978355387162,0.5928267240524292,0.09106944501399994,22.37446403503418,1.9424891471862793,2485.824951171875
21,balanced_top10_accuracy_retrieval250,1.811897929268654,0.03879434832815449,-0.0019321459877132824,-0.017365026147836263,0.0,False,0.05615937447599075,15,6,False,2.5e-06,0.00025,5.341857132158782,0.3362598717212677,1139,1711,0.19033067286014557,0.17105263471603394,1672,1178,0.03879434832815449,0.6082949638366699,0.09044259041547775,20.4509334564209,2.0228562355041504,2474.98486328125,5.348782500442193,0.34346505999565125,987,1463,0.1874520568549633,0.16337645053863525,1469,981,0.042975701070551216,0.6065341234207153,0.09106136113405228,20.442441940307617,1.9903855323791504,2485.824951171875,5.294328864739866,0.3191489279270172,987,1463,0.20505772590637206,0.15520761907100677,1469,981,0.03960978355387162,0.5928267240524292,0.09106944501399994,22.37446403503418,1.9424891471862793,2485.824951171875
22,balanced_top10_accuracy_retrieval250,1.7592965617324368,0.036252006728505884,-0.002542341599648605,-0.019907367747484868,0.0,False,0.05615937447599075,15,7,False,2.5e-06,0.00025,5.389002088914838,0.3292361795902252,1139,1711,0.17041600920259953,0.1734449714422226,1672,1178,0.036252006728505884,0.6160560250282288,0.09042403101921082,19.982105255126953,2.009530544281006,2474.98486328125,5.3823762037316145,0.35764944553375244,987,1463,0.192588951587677,0.18311776220798492,1469,981,0.036183354027312375,0.6141525506973267,0.09179525077342987,19.965970993041992,1.9732836484909058,2485.824951171875,5.294328864739866,0.3191489279270172,987,1463,0.20505772590637206,0.15520761907100677,1469,981,0.03960978355387162,0.5928267240524292,0.09106944501399994,22.37446403503418,1.9424891471862793,2485.824951171875
23,balanced_top10_accuracy_retrieval250,1.724150658857943,0.03399120236031487,-0.0022608043681910106,-0.02216817211567588,0.0,False,0.05615937447599075,15,8,False,2.5e-06,0.00025,5.339980158889503,0.31518876552581787,1139,1711,0.17246784284710884,0.15968899428844452,1672,1178,0.03399120236031487,0.6118998527526855,0.08821066468954086,19.601762771606445,1.983439326286316,2474.98486328125,5.347439045808753,0.3201621174812317,987,1463,0.17484945073723793,0.15520761907100677,1469,981,0.039002573631446935,0.609841525554657,0.08896283805370331,19.600278854370117,1.9380720853805542,2485.824951171875,5.294328864739866,0.3191489279270172,987,1463,0.20505772590637206,0.15520761907100677,1469,981,0.03960978355387162,0.5928267240524292,0.09106944501399994,22.37446403503418,1.9424891471862793,2485.824951171875
24,balanced_top10_accuracy_retrieval250,1.7067937501753219,0.03671153599612191,0.0027203336358070374,-0.01944783847986884,0.0,False,0.05615937447599075,15,9,False,2.5e-06,0.00025,5.390426685935573,0.3450395166873932,1139,1711,0.18545524828135967,0.17464114725589752,1672,1178,0.03671153599612191,0.6138879060745239,0.09172674268484116,19.58501434326172,2.08927845954895,2474.98486328125,5.389173712049212,0.35055723786354065,987,1463,0.1881412760913372,0.17631042003631592,1469,981,0.04132046161925998,0.6121723055839539,0.09250134229660034,19.56886100769043,2.035067558288574,2485.824951171875,5.294328864739866,0.3191489279270172,987,1463,0.20505772590637206,0.15520761907100677,1469,981,0.03960978355387162,0.5928267240524292,0.09106944501399994,22.37446403503418,1.9424891471862793,2485.824951171875
