experiment,task,backbone,strategy,test_f1_macro,test_balanced_acc,test_auroc,best_val_f1,test_f1_class_0,test_f1_class_1,tn,fp,fn,tp,timestamp,result_file
speech__efficientnet_b0__partial_ft,speech,efficientnet_b0,partial_ft,0.6374256811270403,0.6480469366763142,0.6939609526068261,0.6305455749141113,0.47582697201017815,0.7990243902439025,374,339,485,1638,2026-04-29T18:35:02.390891,/home/odra/GitHub/ScraBrain/results/speech__efficientnet_b0__partial_ft/final_results.json
speech__resnet18__partial_ft,speech,resnet18,partial_ft,0.6355852628226744,0.6609451416695129,0.7152161691327008,0.6339785111025182,0.4942396313364056,0.776930894308943,429,284,594,1529,2026-04-29T17:01:51.785626,/home/odra/GitHub/ScraBrain/results/speech__resnet18__partial_ft/final_results.json
speech__vit_tiny__partial_ft,speech,vit_tiny,partial_ft,0.6173478879811223,0.6361813015665598,0.692604342078577,0.6331388162048059,0.46272189349112425,0.7719738824711202,391,322,586,1537,2026-04-29T20:17:28.324718,/home/odra/GitHub/ScraBrain/results/speech__vit_tiny__partial_ft/final_results.json
speech__efficientnet_b0__frozen,speech,efficientnet_b0,frozen,0.616973305219057,0.6127559045754803,0.6562077401121359,0.6127295582008475,0.41492537313432837,0.8190212373037857,278,435,349,1774,2026-04-29T17:41:53.316514,/home/odra/GitHub/ScraBrain/results/speech__efficientnet_b0__frozen/final_results.json
speech__resnet18__frozen,speech,resnet18,frozen,0.6090168830347232,0.6095832130430158,0.6595105764091804,0.6120110787857416,0.41614474599860823,0.8018890200708383,299,414,425,1698,2026-04-29T16:36:59.642943,/home/odra/GitHub/ScraBrain/results/speech__resnet18__frozen/final_results.json
speech__vit_tiny__frozen,speech,vit_tiny,frozen,0.6067868970195108,0.6061033270154766,0.6442572136204094,0.6095210280373832,0.40934844192634556,0.8042253521126761,289,424,410,1713,2026-04-29T19:26:02.782266,/home/odra/GitHub/ScraBrain/results/speech__vit_tiny__frozen/final_results.json
