order	label	container	status	exit_code	started_at	finished_at
0	prepare_word_aligned	docker-compose-run-rm	COMPLETED	0	2026-07-01T10:00:09+02:00	2026-07-01T10:04:32+02:00
1	random_init	ds004408_random_init_20260701_100009	FAILED	1	2026-07-01T10:04:32+02:00	2026-07-01T10:04:49+02:00
